epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,81205.6,1.21829,1.59735,1.24395,0.60124,0.43637,0.47296,0.33209,1.1581,1.28968,1.18986,0.005809,0.005809,0.005809
129,81843,1.21511,1.59887,1.24285,0.60047,0.43664,0.47282,0.33184,1.15833,1.28994,1.18999,0.005776,0.005776,0.005776
130,82474.1,1.21717,1.59587,1.24316,0.5985,0.43492,0.47278,0.3321,1.15845,1.28921,1.18997,0.005743,0.005743,0.005743
131,83117.8,1.21624,1.5965,1.24167,0.60012,0.43423,0.47352,0.33277,1.15865,1.28853,1.19047,0.00571,0.00571,0.00571
132,83748.8,1.21385,1.59299,1.24105,0.60523,0.43284,0.47443,0.33283,1.15863,1.28789,1.19017,0.005677,0.005677,0.005677
133,84383.7,1.2129,1.59118,1.24044,0.60551,0.43327,0.47436,0.33319,1.15873,1.28682,1.18988,0.005644,0.005644,0.005644
134,85032,1.21556,1.59225,1.24138,0.61202,0.43109,0.47521,0.33373,1.15832,1.28502,1.18951,0.005611,0.005611,0.005611
135,85672.1,1.21442,1.58944,1.2406,0.60175,0.43594,0.4755,0.33386,1.15754,1.28479,1.18892,0.005578,0.005578,0.005578
136,86319.2,1.21303,1.59031,1.24018,0.61003,0.43379,0.47555,0.33397,1.15639,1.28384,1.18784,0.005545,0.005545,0.005545
137,86965.1,1.21323,1.58864,1.24012,0.61215,0.4337,0.47596,0.3344,1.15669,1.28319,1.18796,0.005512,0.005512,0.005512
138,87621.7,1.21265,1.58612,1.23897,0.61005,0.43351,0.4761,0.3348,1.15632,1.28227,1.18737,0.005479,0.005479,0.005479
139,88258.8,1.21369,1.58663,1.23967,0.61124,0.43418,0.47641,0.335,1.15618,1.28223,1.18687,0.005446,0.005446,0.005446
140,88893.7,1.21112,1.58207,1.23806,0.60903,0.43574,0.4766,0.33513,1.15649,1.2811,1.18678,0.005413,0.005413,0.005413
141,89545.3,1.21092,1.58254,1.23862,0.60975,0.43503,0.47668,0.33509,1.15631,1.28093,1.18683,0.00538,0.00538,0.00538
142,90184.1,1.21059,1.57972,1.23764,0.60837,0.43489,0.47759,0.33541,1.15619,1.2798,1.18688,0.005347,0.005347,0.005347
143,90815.9,1.21134,1.5781,1.23723,0.61169,0.43452,0.47791,0.33593,1.15568,1.27914,1.18624,0.005314,0.005314,0.005314
144,91447.6,1.21218,1.57866,1.23701,0.60802,0.43877,0.47802,0.33648,1.15495,1.27747,1.18555,0.005281,0.005281,0.005281
145,92055,1.20837,1.5756,1.23524,0.60112,0.44251,0.47876,0.33661,1.15446,1.2764,1.18503,0.005248,0.005248,0.005248
146,92656.1,1.20826,1.57128,1.23624,0.60354,0.4447,0.47938,0.337,1.15477,1.27612,1.18518,0.005215,0.005215,0.005215
147,93275.7,1.20633,1.57182,1.23451,0.60767,0.44355,0.47991,0.33761,1.1542,1.2756,1.18481,0.005182,0.005182,0.005182
148,93913.9,1.20689,1.57094,1.23493,0.60148,0.44562,0.48011,0.33728,1.15394,1.27487,1.18473,0.005149,0.005149,0.005149
149,94537.2,1.20544,1.56837,1.23485,0.60494,0.44359,0.4803,0.33762,1.15346,1.27394,1.18431,0.005116,0.005116,0.005116
150,95172.1,1.20508,1.57009,1.23393,0.60259,0.44496,0.4806,0.33799,1.15318,1.27292,1.18432,0.005083,0.005083,0.005083
151,95799.9,1.20604,1.56671,1.23341,0.60367,0.44546,0.48083,0.33779,1.15314,1.27169,1.18388,0.00505,0.00505,0.00505
152,96428.3,1.20567,1.56728,1.23359,0.61102,0.4431,0.48068,0.33817,1.15256,1.2715,1.18346,0.005017,0.005017,0.005017
153,97051.4,1.20526,1.56637,1.23362,0.60559,0.44589,0.48129,0.3384,1.15213,1.27107,1.18302,0.004984,0.004984,0.004984
154,97679.9,1.20379,1.55946,1.23007,0.60642,0.44539,0.4818,0.33881,1.15156,1.26956,1.18259,0.004951,0.004951,0.004951
155,98304.2,1.20304,1.56215,1.23191,0.61126,0.44262,0.48204,0.33919,1.15122,1.26902,1.18243,0.004918,0.004918,0.004918
156,98935.3,1.20274,1.563,1.23175,0.60662,0.44623,0.48255,0.33934,1.15108,1.26825,1.18213,0.004885,0.004885,0.004885
157,99569.3,1.20247,1.5607,1.23123,0.60731,0.44527,0.48281,0.33958,1.15109,1.26783,1.18179,0.004852,0.004852,0.004852
158,100198,1.20182,1.55801,1.23133,0.60901,0.44499,0.4834,0.3403,1.15023,1.26584,1.18181,0.004819,0.004819,0.004819
159,100831,1.20108,1.55582,1.2305,0.60671,0.44514,0.48383,0.34082,1.15038,1.26501,1.18188,0.004786,0.004786,0.004786
160,101462,1.1977,1.55368,1.22904,0.60675,0.44624,0.48433,0.34128,1.15047,1.26407,1.1818,0.004753,0.004753,0.004753
161,102086,1.20033,1.55569,1.23065,0.604,0.45004,0.48515,0.34158,1.14966,1.26309,1.18123,0.00472,0.00472,0.00472
162,102718,1.19934,1.55171,1.22903,0.60722,0.44788,0.48562,0.34176,1.15002,1.26197,1.18148,0.004687,0.004687,0.004687
163,103351,1.19862,1.55146,1.22915,0.61057,0.44549,0.4856,0.34186,1.14952,1.2613,1.18075,0.004654,0.004654,0.004654
164,103976,1.19962,1.55228,1.22987,0.61238,0.44528,0.48533,0.34195,1.14923,1.26142,1.1804,0.004621,0.004621,0.004621
165,104606,1.1977,1.55039,1.22847,0.61568,0.44357,0.48596,0.34264,1.14868,1.26074,1.18004,0.004588,0.004588,0.004588
166,105246,1.19853,1.54828,1.22752,0.62048,0.44053,0.48594,0.34271,1.14792,1.2604,1.17944,0.004555,0.004555,0.004555
167,105888,1.19691,1.54332,1.2269,0.61279,0.44474,0.48615,0.34278,1.14801,1.25966,1.17917,0.004522,0.004522,0.004522
168,106516,1.19803,1.54237,1.22685,0.61279,0.44725,0.48677,0.34316,1.14771,1.25827,1.17877,0.004489,0.004489,0.004489
169,107143,1.19735,1.54523,1.22759,0.61301,0.44683,0.48716,0.34328,1.1469,1.25784,1.17837,0.004456,0.004456,0.004456
170,107767,1.19578,1.54002,1.22497,0.61289,0.44674,0.48713,0.34353,1.14702,1.25739,1.17807,0.004423,0.004423,0.004423
171,108391,1.19553,1.54103,1.2256,0.61355,0.44637,0.48701,0.34357,1.14649,1.25643,1.17743,0.00439,0.00439,0.00439
172,109020,1.19267,1.53773,1.22377,0.62382,0.44221,0.48703,0.34348,1.14616,1.25606,1.17677,0.004357,0.004357,0.004357
173,109649,1.1948,1.53765,1.22516,0.62418,0.44269,0.48754,0.34372,1.1454,1.25532,1.17601,0.004324,0.004324,0.004324
174,110265,1.19354,1.53765,1.22423,0.62249,0.44246,0.4877,0.34382,1.14539,1.25402,1.17592,0.004291,0.004291,0.004291
175,110890,1.19411,1.53687,1.22426,0.61945,0.44548,0.48837,0.34387,1.14529,1.25333,1.17574,0.004258,0.004258,0.004258
176,111501,1.19161,1.53251,1.2228,0.62017,0.44536,0.48846,0.34394,1.14477,1.2526,1.17539,0.004225,0.004225,0.004225
